3.570000000e+00 -9.018544975e-03  0.000000000e+00 -1.417069734e-03
3.580000000e+00 -9.076868377e-03  0.000000000e+00 -1.422527498e-03
3.590000000e+00 -9.135338689e-03  0.000000000e+00 -1.427951772e-03
3.600000000e+00 -9.193955058e-03  0.000000000e+00 -1.433342132e-03
3.610000000e+00 -9.252716628e-03  0.000000000e+00 -1.438698152e-03
3.620000000e+00 -9.311622535e-03  0.000000000e+00 -1.444019408e-03
3.630000000e+00 -9.370671916e-03  0.000000000e+00 -1.449305478e-03
3.640000000e+00 -9.429863900e-03  0.000000000e+00 -1.454555941e-03
3.650000000e+00 -9.489197613e-03  0.000000000e+00 -1.459770379e-03
3.660000000e+00 -9.548672176e-03  0.000000000e+00 -1.464948374e-03
3.670000000e+00 -9.608286706e-03  0.000000000e+00 -1.470089511e-03
