2.300000000e-01 -7.054957528e-08  4.265978987e-07 -5.236030388e-01  1.047192695e+00 -5.236017061e-01 -3.850493934e-07 -6.736150018e-08  2.570388354e-07 -5.236027728e-01  1.047192330e+00 -5.236021115e-01  5.851633641e-07  1.745329210e+00  3.942656688e-08 -2.703040390e-09 -5.235990390e-01  1.745329203e+00 -1.076002402e-08  5.984724648e-09 -5.235990391e-01
2.400000000e-01 -7.439587467e-08  4.508642839e-07 -5.236033532e-01  1.047192340e+00 -5.236019542e-01 -4.055374750e-07 -6.837925058e-08  2.749283108e-07 -5.236030791e-01  1.047191964e+00 -5.236023754e-01  6.008830559e-07  1.745329218e+00  4.145194006e-08 -2.685455067e-09 -5.235990409e-01  1.745329211e+00 -1.061423583e-08  6.283187615e-09 -5.235990410e-01
2.500000000e-01 -7.463964342e-08  4.763766603e-07 -5.236036796e-01  1.047191974e+00 -5.236022131e-01 -4.268410439e-07 -7.301058522e-08  2.938536011e-07 -5.236033972e-01  1.047191588e+00 -5.236026502e-01  6.176324214e-07  1.745329226e+00  4.350800650e-08 -2.656919416e-09 -5.235990428e-01  1.745329218e+00 -1.041492792e-08  6.584780505e-09 -5.235990428e-01
2.600000000e-01 -7.532717218e-08  5.015518713e-07 -5.236040170e-01  1.047191598e+00 -5.236024834e-01 -4.459314378e-07 -7.663351392e-08  3.137725399e-07 -5.236037276e-01  1.047191201e+00 -5.236029350e-01  6.308224051e-07  1.745329234e+00  4.559773330e-08 -2.617944362e-09 -5.235990447e-01  1.745329226e+00 -1.015932538e-08  6.889623900e-09 -5.235990448e-01
2.700000000e-01 -7.958101356e-08  5.275099857e-07 -5.236043667e-01  1.047191211e+00 -5.236027650e-01 -4.638680966e-07 -7.666205240e-08  3.347723472e-07 -5.236040693e-01  1.047190805e+00 -5.236032302e-01  6.425210456e-07  1.745329242e+00  4.771505525e-08 -2.567977067e-09 -5.235990466e-01  1.745329233e+00 -9.853574996e-09  7.197457615e-09 -5.235990467e-01
2.800000000e-01 -8.394049177e-08  5.538739563e-07 -5.236047278e-01  1.047190813e+00 -5.236030567e-01 -4.835827639e-07 -7.678582970e-08  3.555400939e-07 -5.236044230e-01  1.047190399e+00 -5.236035367e-01  6.538787459e-07  1.745329250e+00  4.985307023e-08 -2.506648870e-09 -5.235990485e-01  1.745329240e+00 -9.504835586e-09  7.509395615e-09 -5.235990486e-01
2.900000000e-01 -8.503673837e-08  5.762088221e-07 -5.236050971e-01  1.047190402e+00 -5.236033625e-01 -4.985018546e-07 -7.702026311e-08  3.757482912e-07 -5.236047915e-01  1.047189987e+00 -5.236038494e-01  6.528854916e-07  1.745329258e+00  5.197947673e-08 -2.432779470e-09 -5.235990505e-01  1.745329248e+00 -9.144727046e-09  7.828916746e-09 -5.235990506e-01
3.000000000e-01 -8.597946955e-08  5.986109809e-07 -5.236054782e-01  1.047189979e+00 -5.236036783e-01 -5.132590334e-07 -7.784754135e-08  3.960814493e-07 -5.236051718e-01  1.047189564e+00 -5.236041740e-01  6.498013387e-07  1.745329266e+00  5.413429777e-08 -2.347712851e-09 -5.235990525e-01  1.745329255e+00 -8.734338836e-09  8.151716068e-09 -5.235990526e-01
3.100000000e-01 -9.109138460e-08  6.248533409e-07 -5.236058737e-01  1.047189549e+00 -5.236039992e-01 -5.378677603e-07 -7.829049088e-08  4.152554058e-07 -5.236055622e-01  1.047189128e+00 -5.236045172e-01  6.584908435e-07  1.745329273e+00  5.637411464e-08 -2.252806484e-09 -5.235990545e-01  1.745329262e+00 -8.218479210e-09  8.472539044e-09 -5.235990546e-01
3.200000000e-01 -9.292928464e-08  6.509362047e-07 -5.236062812e-01  1.047189108e+00 -5.236043321e-01 -5.579080804e-07 -8.157294530e-08  4.378464442e-07 -5.236059641e-01  1.047188682e+00 -5.236048703e-01  6.639663321e-07  1.745329281e+00  5.865518437e-08 -2.148043521e-09 -5.235990565e-01  1.745329269e+00 -7.639806745e-09  8.795749278e-09 -5.235990566e-01
